name;position;address;phone_number;fax_number;email;photo_url
Yang Amat Berhormat Datuk Onn Hafiz bin Ghazi;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pejabat Menteri Besar Johor, Aras 4, Bangunan Dato Jaafar Muhammad, Kota Iskandar, 79502 Iskandar Puteri, Johor;07-266 6355 / 07-266 6341;07-290 8098 / 07-290 8091;pmb@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/07/YB-MB-DATUK-ONN-HAFIZ.jpg
Yang Berhormat Dato' Zahari bin Sarip;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 3, Bangunan Dato' Jaafar Muhammad Kota Iskandar 79555 Iskandar Puteri;07-2666029 / 07-2666028;07-2661187;exco.pklbjohor@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-DATO-ZAHARI.jpg
Yang Berhormat Dato' Haji Mohd Jafni bin Md Shukor;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 2, Bangunan Dato' Abdul Rahman Andak Kota Iskandar 79503 Iskandar Puteri;07-2666024;07-2661183;pejabatexcopktjohor2022@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-DATO-JAFNI.jpg
Yang Berhormat Tuan Raven Kumar a/l Krishnasamy;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pejabat EXCO, Kompleks Warisan Sultan Abu Bakar Yayasan Warisan Johor Lot 888, Jalan Sungai Chat 80100 Johor Bahru;07-2072570;072072530;ravenkumar@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-RAVEN-KUMAR-AL-KRISHNASAMY.jpg
Yang Berhormat Puan Hajah Khairin-Nisa binti Ismail @ Md On;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 1, Bangunan Dato' Muhamad Ibrahim Munsyi Kota Iskandar 79503 Iskandar Puteri;07-2666014;07-2661181;excokhairinnisa@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-PUAN-HAJAH-KHAIRIN-NISA.jpg
Yang Berhormat Tuan Mohd Hairi bin Mad Shah;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 3, Bangunan Dato' Jaafar Muhammad Kota Iskandar 79503 Iskandar Puteri;07-2666032 / 07-2666039;07-2661071;pejexco.ybhairi@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-TUAN-MOHD-HAIRI.jpg
Yang Berhormat Tuan Mohd. Fared bin Mohd Khalid;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 5, Blok A Pusat Islam Iskandar Jalan Masjid Abu Bakar 80990 Johor Bahru;07-2076307;;pejabatexcoagamajohor@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-TUAN-MOHD-FARED.jpg
Yang Berhormat Tuan Ling Tian Soon;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 3, Bangunan Dato' Jaafar Muhammad Kota Iskandar 79503 Iskandar Puteri;07-2666031;07-2661075;excokpjohor@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-TUAN-LING-TIAN-SOON-2.jpg
Yang Berhormat Tuan Lee Ting Han;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 3, Bangunan Dato' Jaafar Muhammad Kota Iskandar 79503 Iskandar Puteri;07-2667853 / 07-2667854;;excopelaburan22@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-TUAN-LEE-TING-HAN-2.jpg
Yang Berhormat Tuan Ir. Ts. Mohamad Fazli bin Mohamad Salleh;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 5, Bangunan Dato' Abdul Rahman Andak Kota Iskandar 79503 Iskandar Puteri;07-2666015 / 07-2666022;07-2661073;excokerjaraya11@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-TUAN-IR-TS-MOHAMAD-FAZLI.jpg
Yang Berhormat Cik Norlizah binti Noh;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Aras 3, Bangunan Dato' Jaafar Muhammad Kota Iskandar 79503 Iskandar Puteri;07-2666023;07-2661076;excoppk2022@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2022/04/YB-CIK-NORLIZAH.jpg
Yang Berhormat Dato' Ir. Hasni bin Mohammad;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 11, Jalan Baldu 1 Taman Sentosa 80150 Johor Bahru, Johor @ Pusat Khidmat ADUN Benut No. 13, Jalan Jaafar 82200 Benut, Pontian Johor;012-7973345 (PA - Nor Ilmawanie binti Asri);;hasnimohammad35@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Hasni-Mohammad.jpg
Yang Berhormat Datuk Haji Samsolbari bin Jamali;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 2, Jalan Padi Huma 3 Bandar Baru UDA 81200 Johor Bahru Johor;;;samsolbari@yahoo.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-DATUK-HAJI-SAMSOLBARI-BIN-JAMALI.jpg
Yang Berhormat Tuan Vidyananthan a/l Ramanadhan;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 27N, Jalan Perdana 2/15 Taman Bukit Perdana 83000 Batu Pahat Johor;;;vidyananthan@johor.gov.my / n31.kahang@johor.gov.my;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Datuk-R-Vidyanathan.jpg
Yang Berhormat Dato’ Haji Zulkurnain bin Kamisan;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pusat Khidmat Wakil Rakyat DUN Sri Medan, D/A : JPJ 60A, Parit Jawa, 83500 Parit Sulong, Batu Pahat, Johor;07-418 5527;07-418 5527;adun.srimedan@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Zulkurnain-Kamisan.jpg
Yang Berhormat Tuan Haji Abd. Mutalip bin Abd. Rahim;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 44, FELDA Layang-Layang 86200 Simpang Renggam Johor;019-2092144 (PA - Syed Mohd. Kazim bin Syed Nasir);;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-TUAN-HAJI-ABD-MUTALIP-BIN-ABD-RAHIM.jpg
Yang Berhormat Dato' Hajah Sharifah Azizah binti Dato' Syed Zain;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;No. 3, Jalan Ahmad Khan 86000 Kluang Johor;;;;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/Sharifah-Azizah-Syed-Zain.jpg
Yang Berhormat Puan Nor Rashidah binti Ramli;Member of the State Legislative Assembly (Ahli Dewan Undangan Negeri) | State Legislative Assembly (Dewan Undangan Negeri), Johor;Pusat Khidmat Wakil Rakyat ADUN Kawasan Parit Raja Bangunan UMNO Bahagian Sri Gading Jalan Besar Parit Raja 86400 Parit Raja, Batu Pahat, Johor;017-7060278 (PA - Izatul Asyikin);;rashidahramli@gmail.com;https://dewannegeri.johor.gov.my/wp-content/uploads/2019/05/YB-PUAN-NOR-RASHIDAH-BINTI-RAMLI.jpg
